dataset,algo,embed,acc,config
FNFC,BiCNN,BERT,0.9028328611898017,BiCNN-BERT
FNFC,BiCNN,GloVe,0.9046742209631727,BiCNN-GloVe
FNFC,BiCNN,MPNet,0.8995750708215298,BiCNN-MPNet
FNFC,BiCNN,TF-IDF,0.891643059490085,BiCNN-TF-IDF
FNFC,BiCNN,Word2Vec,0.8541076487252125,BiCNN-Word2Vec
FNFC,BiLSTM,BERT,0.8907932011331445,BiLSTM-BERT
FNFC,BiLSTM,GloVe,0.8868271954674221,BiLSTM-GloVe
FNFC,BiLSTM,MPNet,0.8985835694050991,BiLSTM-MPNet
FNFC,BiLSTM,TF-IDF,0.8937677053824362,BiLSTM-TF-IDF
FNFC,BiLSTM,Word2Vec,0.8541076487252125,BiLSTM-Word2Vec
FNFC,CNN,BERT,0.9046742209631727,CNN-BERT
FNFC,CNN,GloVe,0.9016997167138812,CNN-GloVe
FNFC,CNN,MPNet,0.8971671388101983,CNN-MPNet
FNFC,CNN,TF-IDF,0.8927762039660057,CNN-TF-IDF
FNFC,CNN,Word2Vec,0.8541076487252125,CNN-Word2Vec
FNFC,DNN,BERT,0.8940509915014164,DNN-BERT
FNFC,DNN,GloVe,0.8793201133144477,DNN-GloVe
FNFC,DNN,MPNet,0.8977337110481587,DNN-MPNet
FNFC,DNN,TF-IDF,0.8926345609065155,DNN-TF-IDF
FNFC,DNN,Word2Vec,0.8541076487252125,DNN-Word2Vec
FNFC,GRU,BERT,0.8961756373937677,GRU-BERT
FNFC,GRU,GloVe,0.8926345609065155,GRU-GloVe
FNFC,GRU,MPNet,0.8987252124645891,GRU-MPNet
FNFC,GRU,TF-IDF,0.8912181303116148,GRU-TF-IDF
FNFC,GRU,Word2Vec,0.8541076487252125,GRU-Word2Vec
FNFC,LSTM,BERT,0.8881019830028329,LSTM-BERT
FNFC,LSTM,GloVe,0.8858356940509914,LSTM-GloVe
FNFC,LSTM,MPNet,0.8968838526912182,LSTM-MPNet
FNFC,LSTM,TF-IDF,0.8923512747875353,LSTM-TF-IDF
FNFC,LSTM,Word2Vec,0.8541076487252125,LSTM-Word2Vec
PROMISE,BiCNN,BERT,0.7657657176432883,BiCNN-BERT
PROMISE,BiCNN,GloVe,0.7399284226269964,BiCNN-GloVe
PROMISE,BiCNN,MPNet,0.7657390096682869,BiCNN-MPNet
PROMISE,BiCNN,TF-IDF,0.7316809999465841,BiCNN-TF-IDF
PROMISE,BiCNN,Word2Vec,0.45820736071791035,BiCNN-Word2Vec
PROMISE,BiLSTM,BERT,0.7337428556166872,BiLSTM-BERT
PROMISE,BiLSTM,GloVe,0.6924630094546231,BiLSTM-GloVe
PROMISE,BiLSTM,MPNet,0.7708936488435447,BiLSTM-MPNet
PROMISE,BiLSTM,TF-IDF,0.7430318893221516,BiLSTM-TF-IDF
PROMISE,BiLSTM,Word2Vec,0.4571764328828588,BiLSTM-Word2Vec
PROMISE,CNN,BERT,0.7636771539981838,CNN-BERT
PROMISE,CNN,GloVe,0.7357940280967897,CNN-GloVe
PROMISE,CNN,MPNet,0.7471769670423589,CNN-MPNet
PROMISE,CNN,TF-IDF,0.7275412638213771,CNN-TF-IDF
PROMISE,CNN,Word2Vec,0.45820736071791035,CNN-Word2Vec
PROMISE,DNN,BERT,0.7275412638213771,DNN-BERT
PROMISE,DNN,GloVe,0.6326104374766305,DNN-GloVe
PROMISE,DNN,MPNet,0.7440841835372043,DNN-MPNet
PROMISE,DNN,TF-IDF,0.7244431387212221,DNN-TF-IDF
PROMISE,DNN,Word2Vec,0.45820736071791035,DNN-Word2Vec
PROMISE,GRU,BERT,0.7420223278671012,GRU-BERT
PROMISE,GRU,GloVe,0.6594893435179745,GRU-GloVe
PROMISE,GRU,MPNet,0.7636824955931841,GRU-MPNet
PROMISE,GRU,TF-IDF,0.7378772501468939,GRU-TF-IDF
PROMISE,GRU,Word2Vec,0.45614550504780726,GRU-Word2Vec
PROMISE,LSTM,BERT,0.7172426686608622,LSTM-BERT
PROMISE,LSTM,GloVe,0.648020939052401,LSTM-GloVe
PROMISE,LSTM,MPNet,0.7533732172426687,LSTM-MPNet
PROMISE,LSTM,TF-IDF,0.7254580417712729,LSTM-TF-IDF
PROMISE,LSTM,Word2Vec,0.45820736071791035,LSTM-Word2Vec
