config,paper_acc,our_acc,lift,dataset
BiCNN-BERT,62.37,91.27,28.9,FNFC
BiCNN-TF-IDF,82.79,91.27,8.47999999999999,FNFC
LSTM-TF-IDF,82.86,91.27,8.409999999999997,FNFC
LSTM-Word2Vec,84.35,91.27,6.920000000000002,FNFC
CNN-TF-IDF,84.63,91.27,6.640000000000001,FNFC
DNN-Word2Vec,85.21,91.27,6.060000000000002,FNFC
GRU-Word2Vec,85.54,91.27,5.72999999999999,FNFC
LSTM-BERT,85.62,91.27,5.6499999999999915,FNFC
CNN-Word2Vec,85.9,91.27,5.36999999999999,FNFC
BiCNN-Word2Vec,85.9,91.27,5.36999999999999,FNFC
DNN-BERT,86.11,91.27,5.159999999999997,FNFC
BiLSTM-Word2Vec,86.26,91.27,5.009999999999991,FNFC
DNN-TF-IDF,86.47,91.27,4.799999999999997,FNFC
BiLSTM-BERT,87.44,91.27,3.8299999999999983,FNFC
GRU-BERT,87.96,91.27,3.3100000000000023,FNFC
CNN-BERT,88.31,91.27,2.9599999999999937,FNFC
GRU-TF-IDF,88.59,91.27,2.6799999999999926,FNFC
CNN-GloVe,89.09,91.27,2.1799999999999926,FNFC
DNN-GloVe,89.14,91.27,2.1299999999999955,FNFC
BiLSTM-TF-IDF,89.16,91.27,2.1099999999999994,FNFC
LSTM-GloVe,89.66,91.27,1.6099999999999994,FNFC
BiCNN-GloVe,89.94,91.27,1.3299999999999983,FNFC
BiLSTM-GloVe,90.43,91.27,0.8399999999999892,FNFC
GRU-GloVe,90.74,91.27,0.5300000000000011,FNFC
BiCNN-Word2Vec,41.23,82.66,41.43,PROMISE_exp
GRU-Word2Vec,43.29,82.66,39.37,PROMISE_exp
CNN-Word2Vec,43.81,82.66,38.849999999999994,PROMISE_exp
LSTM-BERT,43.81,82.66,38.849999999999994,PROMISE_exp
CNN-TF-IDF,45.36,82.66,37.3,PROMISE_exp
DNN-Word2Vec,45.36,82.66,37.3,PROMISE_exp
BiCNN-TF-IDF,45.87,82.66,36.79,PROMISE_exp
BiLSTM-Word2Vec,46.9,82.66,35.76,PROMISE_exp
LSTM-Word2Vec,47.42,82.66,35.239999999999995,PROMISE_exp
DNN-BERT,50.68,82.66,31.979999999999997,PROMISE_exp
BiLSTM-BERT,60.27,82.66,22.389999999999993,PROMISE_exp
GRU-BERT,60.34,82.66,22.319999999999993,PROMISE_exp
LSTM-TF-IDF,60.82,82.66,21.839999999999996,PROMISE_exp
CNN-BERT,61.85,82.66,20.809999999999995,PROMISE_exp
BiCNN-BERT,62.37,82.66,20.29,PROMISE_exp
LSTM-GloVe,65.97,82.66,16.689999999999998,PROMISE_exp
DNN-GloVe,66.43,82.66,16.22999999999999,PROMISE_exp
BiLSTM-TF-IDF,68.55,82.66,14.11,PROMISE_exp
DNN-TF-IDF,70.1,82.66,12.560000000000002,PROMISE_exp
GRU-TF-IDF,71.13,82.66,11.530000000000001,PROMISE_exp
BiCNN-GloVe,73.71,82.66,8.950000000000003,PROMISE_exp
GRU-GloVe,74.65,82.66,8.009999999999991,PROMISE_exp
CNN-GloVe,75.25,82.66,7.409999999999997,PROMISE_exp
BiLSTM-GloVe,79.98,82.66,2.6799999999999926,PROMISE_exp
