dataset,algo,embed,acc,config
FNFC,AdaBoost,BERT,0.8467422096317281,AdaBoost-BERT
FNFC,AdaBoost,GloVe,0.848158640226629,AdaBoost-GloVe
FNFC,AdaBoost,MPNet,0.8522662889518413,AdaBoost-MPNet
FNFC,AdaBoost,TF-IDF,0.8558073654390934,AdaBoost-TF-IDF
FNFC,AdaBoost,Word2Vec,0.7225212464589236,AdaBoost-Word2Vec
FNFC,DecisionTree,BERT,0.7691218130311614,DecisionTree-BERT
FNFC,DecisionTree,GloVe,0.7573654390934844,DecisionTree-GloVe
FNFC,DecisionTree,MPNet,0.7740793201133144,DecisionTree-MPNet
FNFC,DecisionTree,TF-IDF,0.8672804532577902,DecisionTree-TF-IDF
FNFC,DecisionTree,Word2Vec,0.7441926345609066,DecisionTree-Word2Vec
FNFC,LinearSVM,BERT,0.8851274787535411,LinearSVM-BERT
FNFC,LinearSVM,GloVe,0.8776203966005666,LinearSVM-GloVe
FNFC,LinearSVM,MPNet,0.8953257790368273,LinearSVM-MPNet
FNFC,LinearSVM,TF-IDF,0.9,LinearSVM-TF-IDF
FNFC,LinearSVM,Word2Vec,0.8541076487252125,LinearSVM-Word2Vec
FNFC,LogisticRegression,BERT,0.8912181303116148,LogisticRegression-BERT
FNFC,LogisticRegression,GloVe,0.8711048158640227,LogisticRegression-GloVe
FNFC,LogisticRegression,MPNet,0.888243626062323,LogisticRegression-MPNet
FNFC,LogisticRegression,TF-IDF,0.8726628895184136,LogisticRegression-TF-IDF
FNFC,LogisticRegression,Word2Vec,0.8541076487252125,LogisticRegression-Word2Vec
FNFC,NaiveBayes,BERT,0.6875354107648726,NaiveBayes-BERT
FNFC,NaiveBayes,GloVe,0.5181303116147309,NaiveBayes-GloVe
FNFC,NaiveBayes,MPNet,0.6961756373937678,NaiveBayes-MPNet
FNFC,NaiveBayes,TF-IDF,0.811756373937677,NaiveBayes-TF-IDF
FNFC,NaiveBayes,Word2Vec,0.013314447592067988,NaiveBayes-Word2Vec
FNFC,RandomForest,BERT,0.8621813031161473,RandomForest-BERT
FNFC,RandomForest,GloVe,0.8624645892351275,RandomForest-GloVe
FNFC,RandomForest,MPNet,0.8623229461756374,RandomForest-MPNet
FNFC,RandomForest,TF-IDF,0.8932011331444759,RandomForest-TF-IDF
FNFC,RandomForest,Word2Vec,0.8610481586402265,RandomForest-Word2Vec
FNFC,SVM-RBF,BERT,0.8838526912181303,SVM-RBF-BERT
FNFC,SVM-RBF,GloVe,0.8562322946175638,SVM-RBF-GloVe
FNFC,SVM-RBF,MPNet,0.8900849858356941,SVM-RBF-MPNet
FNFC,SVM-RBF,TF-IDF,0.876487252124646,SVM-RBF-TF-IDF
FNFC,SVM-RBF,Word2Vec,0.8541076487252125,SVM-RBF-Word2Vec
PROMISE,AdaBoost,BERT,0.45305806313765296,AdaBoost-BERT
PROMISE,AdaBoost,GloVe,0.45923294695796163,AdaBoost-GloVe
PROMISE,AdaBoost,MPNet,0.45201645211260083,AdaBoost-MPNet
PROMISE,AdaBoost,TF-IDF,0.4953421291597671,AdaBoost-TF-IDF
PROMISE,AdaBoost,Word2Vec,0.3839217990491961,AdaBoost-Word2Vec
PROMISE,DecisionTree,BERT,0.4210191763260509,DecisionTree-BERT
PROMISE,DecisionTree,GloVe,0.42723145131136153,DecisionTree-GloVe
PROMISE,DecisionTree,MPNet,0.46335131670316754,DecisionTree-MPNet
PROMISE,DecisionTree,TF-IDF,0.579979701938999,DecisionTree-TF-IDF
PROMISE,DecisionTree,Word2Vec,0.3385289247369264,DecisionTree-Word2Vec
PROMISE,LinearSVM,BERT,0.7161903744458095,LinearSVM-BERT
PROMISE,LinearSVM,GloVe,0.7110250520805513,LinearSVM-GloVe
PROMISE,LinearSVM,MPNet,0.7925698413546285,LinearSVM-MPNet
PROMISE,LinearSVM,TF-IDF,0.7502483841675124,LinearSVM-TF-IDF
PROMISE,LinearSVM,Word2Vec,0.45820736071791035,LinearSVM-Word2Vec
PROMISE,LogisticRegression,BERT,0.7440361091822018,LogisticRegression-BERT
PROMISE,LogisticRegression,GloVe,0.667699375033385,LogisticRegression-GloVe
PROMISE,LogisticRegression,MPNet,0.704839485070242,LogisticRegression-MPNet
PROMISE,LogisticRegression,TF-IDF,0.6016238448800812,LogisticRegression-TF-IDF
PROMISE,LogisticRegression,Word2Vec,0.45820736071791035,LogisticRegression-Word2Vec
PROMISE,NaiveBayes,BERT,0.6811281448640564,NaiveBayes-BERT
PROMISE,NaiveBayes,GloVe,0.578980823673949,NaiveBayes-GloVe
PROMISE,NaiveBayes,MPNet,0.7182789380909139,NaiveBayes-MPNet
PROMISE,NaiveBayes,TF-IDF,0.6439559852571979,NaiveBayes-TF-IDF
PROMISE,NaiveBayes,Word2Vec,0.05468190801773409,NaiveBayes-Word2Vec
PROMISE,RandomForest,BERT,0.5810052881790503,RandomForest-BERT
PROMISE,RandomForest,GloVe,0.5882164414294108,RandomForest-GloVe
PROMISE,RandomForest,MPNet,0.5995726723999787,RandomForest-MPNet
PROMISE,RandomForest,TF-IDF,0.6325890710966295,RandomForest-TF-IDF
PROMISE,RandomForest,Word2Vec,0.46748571123337423,RandomForest-Word2Vec
PROMISE,SVM-RBF,BERT,0.7120773462956038,SVM-RBF-BERT
PROMISE,SVM-RBF,GloVe,0.5851289995192565,SVM-RBF-GloVe
PROMISE,SVM-RBF,MPNet,0.7471556006623578,SVM-RBF-MPNet
PROMISE,SVM-RBF,TF-IDF,0.5892366860744618,SVM-RBF-TF-IDF
PROMISE,SVM-RBF,Word2Vec,0.45820736071791035,SVM-RBF-Word2Vec
