dataset,C,alpha,accuracy,macro_f1,weighted_f1
fnfc,0.1,0.0,89.30594900849857,31.07764478668978,86.50559576113253
fnfc,0.1,0.2,89.92917847025497,35.954574876548534,87.63425963853295
fnfc,0.1,0.4,90.58073654390935,40.0367270191505,88.79876000075478
fnfc,0.1,0.5,90.60906515580737,41.11277309543046,89.0249036153945
fnfc,0.1,0.6,90.79320113314448,44.53482638461831,89.53475390994883
fnfc,0.1,0.8,90.90651558073655,48.033865695369414,90.20993161375418
fnfc,0.1,1.0,90.53824362606233,52.15702663784369,90.4492860029774
fnfc,0.5,0.0,90.73654390934844,41.91694622108188,89.14255935882692
fnfc,0.5,0.2,91.1473087818697,45.42025587590656,89.83339724407747
fnfc,0.5,0.4,91.17563739376772,47.48303605767141,90.15170100291668
fnfc,0.5,0.5,91.14730878186967,47.93203252261828,90.24958799656639
fnfc,0.5,0.6,91.28895184135978,49.03544931491931,90.53899814927055
fnfc,0.5,0.8,90.96317280453258,49.400828822741964,90.44913081795697
fnfc,0.5,1.0,90.89235127478753,50.62313298075095,90.63078746395264
fnfc,1.0,0.0,91.11898016997166,46.1482511745989,89.91129102840907
fnfc,1.0,0.2,91.24645892351275,47.388702018381096,90.1906769847305
fnfc,1.0,0.4,91.31728045325778,48.9643146007178,90.4074193568276
fnfc,1.0,0.5,91.28895184135976,49.82906253297877,90.48381968712523
fnfc,1.0,0.6,91.18980169971671,49.766697903781846,90.44920408307124
fnfc,1.0,0.8,91.16147308781869,50.142184142234164,90.6045637648734
fnfc,1.0,1.0,90.82152974504251,50.613507366298144,90.46208348290585
fnfc,1.5,0.0,91.1898016997167,47.043079311553335,90.07930958585965
fnfc,1.5,0.2,91.20396600566572,48.16986130934252,90.18665424875797
fnfc,1.5,0.4,91.21813031161473,48.98111144404538,90.3365109550319
fnfc,1.5,0.5,91.2039660056657,49.300638167731385,90.3928610287106
fnfc,1.5,0.6,91.17563739376769,49.55412767389436,90.43584689370618
fnfc,1.5,0.8,90.94900849858358,49.53722274541936,90.36580253551058
fnfc,1.5,1.0,90.80736543909349,50.0702636387997,90.38527291822348
fnfc,2.0,0.0,91.13314447592067,47.04972664057772,90.07535034809175
fnfc,2.0,0.2,91.1473087818697,48.20093578444571,90.18420175536981
fnfc,2.0,0.4,91.11898016997168,48.597095022585975,90.2542737716064
fnfc,2.0,0.5,91.09065155807366,48.87614466439301,90.28861824080255
fnfc,2.0,0.6,91.06232294617564,49.41609062202396,90.33099796862004
fnfc,2.0,0.8,90.96317280453259,49.33594341120714,90.36252211251846
fnfc,2.0,1.0,90.87818696883853,49.81525556937067,90.38815466838045
fnfc,5.0,0.0,90.96317280453259,47.96706305234547,90.06675850487923
fnfc,5.0,0.2,90.93484419263456,48.10046202653643,90.08724109985468
fnfc,5.0,0.4,90.86402266288952,48.13384732188386,90.0614067379976
fnfc,5.0,0.5,90.8498583569405,48.24612932161798,90.067559393415
fnfc,5.0,0.6,90.75070821529746,48.14084290426631,89.998274569196
fnfc,5.0,0.8,90.8073654390935,48.597042552585336,90.13291280500422
fnfc,5.0,1.0,90.79320113314448,48.922649045992685,90.21874871501893
fnfc,10.0,0.0,90.80736543909347,47.58228181871539,89.94451966860342
fnfc,10.0,0.2,90.75070821529745,48.52337903882162,89.92897828829265
fnfc,10.0,0.4,90.75070821529746,48.55060464772373,89.94658874343173
fnfc,10.0,0.5,90.79320113314448,48.88649784861077,90.01764117429391
fnfc,10.0,0.6,90.76487252124646,49.03210768426696,89.99836735209621
fnfc,10.0,0.8,90.72237960339943,49.1781538969429,90.00118717192153
fnfc,10.0,1.0,90.6940509915014,49.45278742919144,90.03954542367693
promise,0.1,0.0,78.0182682549009,55.86709226507852,75.61772208233677
promise,0.1,0.2,79.15442551145773,60.79219375175794,77.24211003391838
promise,0.1,0.4,80.49516585652476,64.77650821900838,79.10276927223488
promise,0.1,0.5,81.21895197906096,66.29454866234612,80.06454957321131
promise,0.1,0.6,81.32257892206613,66.7743568140135,80.25819485155282
promise,0.1,0.8,82.45553122162278,69.43135426688221,81.83685414176553
promise,0.1,1.0,82.14678703060734,69.09092788162734,81.75210958972558
promise,0.5,0.0,81.32151060306607,64.33096909348292,79.99899326813913
promise,0.5,0.2,81.7338817370867,64.60789240700625,80.52211271783173
promise,0.5,0.4,82.45713370012285,66.28490112399723,81.36257373604113
promise,0.5,0.5,82.45659954062283,66.54041363394158,81.42225547076889
promise,0.5,0.6,82.45659954062283,66.55409726831488,81.44392357633319
promise,0.5,0.8,82.9720634581486,68.68040886305275,82.26601423714118
promise,0.5,1.0,82.86897067464346,68.99323037328294,82.2862426733305
promise,1.0,0.0,81.94006730409701,65.09267527494201,80.69672934425809
promise,1.0,0.2,81.73334757758667,65.352106085896,80.6080925312198
promise,1.0,0.4,81.83750868009187,66.92686296585404,80.92572103160032
promise,1.0,0.5,82.25041397361252,67.36481968503556,81.3336856476059
promise,1.0,0.6,82.35350675711767,67.311111923833,81.4394035107278
promise,1.0,0.8,82.76641205063832,67.93666283983347,81.92488482363717
promise,1.0,1.0,82.66278510763314,67.78264563308599,81.85390229633052
promise,1.5,0.0,81.73334757758667,65.40386637183782,80.55430086191585
promise,1.5,0.2,81.93953314459698,66.33247004186126,80.9226348791329
promise,1.5,0.4,81.83697452059184,66.24563724805252,80.85223781512765
promise,1.5,0.5,81.73388173708668,66.15628513010681,80.77615878310588
promise,1.5,0.6,82.14732119010736,67.23989946176654,81.26000158551076
promise,1.5,0.8,82.35350675711767,67.71968137176745,81.51513652066338
promise,1.5,1.0,82.45659954062282,67.70718759736623,81.65427864311405
promise,2.0,0.0,81.83644036109182,66.2531335079747,80.79088491345496
promise,2.0,0.2,81.93953314459698,66.43431784354303,80.93795173084865
promise,2.0,0.4,82.04316008760216,66.76312103299534,81.07764655047808
promise,2.0,0.5,81.94006730409698,66.47880061426633,80.95656927575929
promise,2.0,0.6,81.94006730409698,66.45134429045311,80.96639191984545
promise,2.0,0.8,82.04369424710218,67.04519977205123,81.17187892418572
promise,2.0,1.0,82.24987981411249,67.53539339626579,81.44042545927118
promise,5.0,0.0,81.73334757758667,66.50330040736014,80.684840037344
promise,5.0,0.2,81.73334757758667,66.46954891393122,80.70433159408199
promise,5.0,0.4,81.73334757758667,66.50539085443623,80.72264765480222
promise,5.0,0.5,81.8364403610918,66.55095265197181,80.82504272789592
promise,5.0,0.6,81.93953314459698,66.55830290301267,80.93982183926249
promise,5.0,0.8,81.93953314459698,66.5976636360109,80.99141250424695
promise,5.0,1.0,81.93953314459698,66.5976636360109,80.99141250424695
promise,10.0,0.0,81.73334757758667,66.53992610081819,80.71072104861528
promise,10.0,0.2,81.73334757758667,66.53992610081819,80.71072104861528
promise,10.0,0.4,81.83644036109182,66.58516986737342,80.81317413230886
promise,10.0,0.5,81.83644036109182,66.58516986737342,80.81317413230886
promise,10.0,0.6,81.93953314459698,66.65742846198764,80.92663232161499
promise,10.0,0.8,81.83644036109182,66.6199683329171,80.82987657195486
promise,10.0,1.0,82.04262592810213,66.69313662275205,81.04791254256813
