dataset,algo,embed,acc,config,fold
FNFC,BiCNN,BERT,0.901558073654391,BiCNN-BERT,
FNFC,BiCNN,GloVe,0.9043909348441928,BiCNN-GloVe,
FNFC,BiCNN,TF-IDF,0.8934844192634561,BiCNN-TF-IDF,
FNFC,BiCNN,Word2Vec,0.8541076487252125,BiCNN-Word2Vec,
FNFC,BiLSTM,BERT,0.8906515580736544,BiLSTM-BERT,
FNFC,BiLSTM,GloVe,0.8861189801699716,BiLSTM-GloVe,
FNFC,BiLSTM,TF-IDF,0.8930594900849858,BiLSTM-TF-IDF,
FNFC,BiLSTM,Word2Vec,0.8541076487252125,BiLSTM-Word2Vec,
FNFC,CNN,BERT,0.9016997167138812,CNN-BERT,
FNFC,CNN,GloVe,0.903257790368272,CNN-GloVe,
FNFC,CNN,TF-IDF,0.8927762039660057,CNN-TF-IDF,
FNFC,CNN,Word2Vec,0.8541076487252125,CNN-Word2Vec,
FNFC,DNN,BERT,0.8924929178470254,DNN-BERT,
FNFC,DNN,GloVe,0.8838526912181303,DNN-GloVe,
FNFC,DNN,TF-IDF,0.8917847025495751,DNN-TF-IDF,
FNFC,DNN,Word2Vec,0.8541076487252125,DNN-Word2Vec,
FNFC,GRU,BERT,0.8923512747875353,GRU-BERT,
FNFC,GRU,GloVe,0.8937677053824362,GRU-GloVe,
FNFC,GRU,TF-IDF,0.8920679886685552,GRU-TF-IDF,
FNFC,GRU,Word2Vec,0.8541076487252125,GRU-Word2Vec,
FNFC,LSTM,BERT,0.8855524079320114,LSTM-BERT,
FNFC,LSTM,GloVe,0.8851274787535411,LSTM-GloVe,
FNFC,LSTM,TF-IDF,0.8927762039660057,LSTM-TF-IDF,
FNFC,LSTM,Word2Vec,0.8541076487252125,LSTM-Word2Vec,
PROMISE,BiCNN,BERT,0.7760643128038032,BiCNN-BERT,
PROMISE,BiCNN,GloVe,0.7481918700924096,BiCNN-GloVe,
PROMISE,BiCNN,TF-IDF,0.7275572886063779,BiCNN-TF-IDF,
PROMISE,BiCNN,Word2Vec,0.4582073607179103,BiCNN-Word2Vec,
PROMISE,BiLSTM,BERT,0.7461353560173067,BiLSTM-BERT,
PROMISE,BiLSTM,GloVe,0.6749051866887452,BiLSTM-GloVe,
PROMISE,BiLSTM,TF-IDF,0.7430425725121521,BiLSTM-TF-IDF,
PROMISE,BiLSTM,Word2Vec,0.4582073607179103,BiLSTM-Word2Vec,
PROMISE,CNN,BERT,0.7678062069333903,CNN-BERT,
PROMISE,CNN,GloVe,0.7368516639068426,CNN-GloVe,
PROMISE,CNN,TF-IDF,0.7275519470113776,CNN-TF-IDF,
PROMISE,CNN,Word2Vec,0.4582073607179103,CNN-Word2Vec,
PROMISE,DNN,BERT,0.7368623470968431,DNN-BERT,
PROMISE,DNN,GloVe,0.6233053789861652,DNN-GloVe,
