dataset,algo,embed,acc,config,fold
FNFC,BiCNN,BERT,0.7837110481586402,BiCNN-BERT,
FNFC,BiCNN,GloVe,0.8089235127478753,BiCNN-GloVe,
FNFC,BiCNN,TF-IDF,0.8392351274787535,BiCNN-TF-IDF,
FNFC,BiCNN,Word2Vec,0.2766288951841359,BiCNN-Word2Vec,
FNFC,BiLSTM,BERT,0.6641643059490085,BiLSTM-BERT,
FNFC,BiLSTM,GloVe,0.6059490084985836,BiLSTM-GloVe,
FNFC,BiLSTM,TF-IDF,0.8422096317280452,BiLSTM-TF-IDF,
FNFC,BiLSTM,Word2Vec,0.2910764872521246,BiLSTM-Word2Vec,
FNFC,CNN,BERT,0.7553824362606232,CNN-BERT,
FNFC,CNN,GloVe,0.7743626062322946,CNN-GloVe,
FNFC,CNN,TF-IDF,0.836827195467422,CNN-TF-IDF,
FNFC,CNN,Word2Vec,0.0703966005665722,CNN-Word2Vec,
FNFC,DNN,BERT,0.5753541076487252,DNN-BERT,
FNFC,DNN,GloVe,0.5296033994334277,DNN-GloVe,
FNFC,DNN,TF-IDF,0.8373937677053824,DNN-TF-IDF,
FNFC,DNN,Word2Vec,0.1669971671388102,DNN-Word2Vec,
FNFC,GRU,BERT,0.6126062322946175,GRU-BERT,
FNFC,GRU,GloVe,0.6148725212464589,GRU-GloVe,
FNFC,GRU,TF-IDF,0.8320113314447593,GRU-TF-IDF,
FNFC,GRU,Word2Vec,0.2308781869688385,GRU-Word2Vec,
FNFC,LSTM,BERT,0.6259206798866856,LSTM-BERT,
FNFC,LSTM,GloVe,0.6059490084985836,LSTM-GloVe,
FNFC,LSTM,TF-IDF,0.8345609065155808,LSTM-TF-IDF,
FNFC,LSTM,Word2Vec,0.1287535410764872,LSTM-Word2Vec,
PROMISE,BiCNN,BERT,0.755440414507772,BiCNN-BERT,
PROMISE,BiCNN,GloVe,0.6955557929597778,BiCNN-GloVe,
PROMISE,BiCNN,TF-IDF,0.7409433256770471,BiCNN-TF-IDF,
PROMISE,BiCNN,Word2Vec,0.0733294161636664,BiCNN-Word2Vec,
PROMISE,BiLSTM,BERT,0.6667111799583355,BiLSTM-BERT,
PROMISE,BiLSTM,GloVe,0.5573099727578655,BiLSTM-GloVe,
PROMISE,BiLSTM,TF-IDF,0.7378505421718925,BiLSTM-TF-IDF,
PROMISE,BiLSTM,Word2Vec,0.1515677581325783,BiLSTM-Word2Vec,
PROMISE,CNN,BERT,0.7543988034827199,CNN-BERT,
PROMISE,CNN,GloVe,0.6811441696490572,CNN-GloVe,
PROMISE,CNN,TF-IDF,0.7378291757918914,CNN-TF-IDF,
PROMISE,CNN,Word2Vec,0.0712194861385609,CNN-Word2Vec,
PROMISE,DNN,BERT,0.6770685326638535,DNN-BERT,
PROMISE,DNN,GloVe,0.5119010736605951,DNN-GloVe,
PROMISE,DNN,TF-IDF,0.7450670370172533,DNN-TF-IDF,
PROMISE,DNN,Word2Vec,0.067101116393355,DNN-Word2Vec,
PROMISE,GRU,BERT,0.6512258960525613,GRU-BERT,
PROMISE,GRU,GloVe,0.4592970460979648,GRU-GloVe,
PROMISE,GRU,TF-IDF,0.7471288926873564,GRU-TF-IDF,
PROMISE,GRU,Word2Vec,0.0866940868543347,GRU-Word2Vec,
PROMISE,LSTM,BERT,0.6821644142941082,LSTM-BERT,
PROMISE,LSTM,GloVe,0.5138934885956947,LSTM-GloVe,
PROMISE,LSTM,TF-IDF,0.7388921531969446,LSTM-TF-IDF,
PROMISE,LSTM,Word2Vec,0.2169702473158485,LSTM-Word2Vec,
FNFC,DNN,SBERT,0.6572237960339944,,0.0
FNFC,CNN,SBERT,0.5580736543909348,,0.0
FNFC,LSTM,SBERT,0.6529745042492918,,0.0
FNFC,GRU,SBERT,0.6239376770538244,,0.0
FNFC,BiLSTM,SBERT,0.6813031161473088,,0.0
FNFC,BiCNN,SBERT,0.6558073654390935,,0.0
FNFC,DNN,SBERT,0.6473087818696884,,1.0
FNFC,CNN,SBERT,0.5977337110481586,,1.0
FNFC,LSTM,SBERT,0.6720963172804533,,1.0
FNFC,GRU,SBERT,0.6728045325779037,,1.0
FNFC,BiLSTM,SBERT,0.7379603399433428,,1.0
FNFC,BiCNN,SBERT,0.6494334277620396,,1.0
FNFC,DNN,SBERT,0.7124645892351275,,2.0
FNFC,CNN,SBERT,0.6388101983002833,,2.0
FNFC,LSTM,SBERT,0.6480169971671388,,2.0
FNFC,GRU,SBERT,0.636685552407932,,2.0
FNFC,BiLSTM,SBERT,0.7542492917847026,,2.0
FNFC,BiCNN,SBERT,0.68342776203966,,2.0
FNFC,DNN,SBERT,0.6728045325779037,,3.0
FNFC,CNN,SBERT,0.6593484419263456,,3.0
FNFC,LSTM,SBERT,0.6791784702549575,,3.0
FNFC,GRU,SBERT,0.626770538243626,,3.0
FNFC,BiLSTM,SBERT,0.7117563739376771,,3.0
FNFC,BiCNN,SBERT,0.7209631728045326,,3.0
FNFC,DNN,SBERT,0.6543909348441926,,4.0
FNFC,CNN,SBERT,0.6473087818696884,,4.0
FNFC,LSTM,SBERT,0.6529745042492918,,4.0
FNFC,GRU,SBERT,0.6572237960339944,,4.0
FNFC,BiLSTM,SBERT,0.7096317280453258,,4.0
FNFC,BiCNN,SBERT,0.6444759206798867,,4.0
PROMISE,DNN,SBERT,0.6597938144329897,,0.0
PROMISE,CNN,SBERT,0.6082474226804123,,0.0
