dataset,algo,embed,acc,config,fold
FNFC,AdaBoost,BERT,0.8467422096317281,AdaBoost-BERT,
FNFC,AdaBoost,GloVe,0.848158640226629,AdaBoost-GloVe,
FNFC,AdaBoost,TF-IDF,0.8558073654390934,AdaBoost-TF-IDF,
FNFC,AdaBoost,Word2Vec,0.7225212464589236,AdaBoost-Word2Vec,
FNFC,DecisionTree,BERT,0.7691218130311614,DecisionTree-BERT,
FNFC,DecisionTree,GloVe,0.7573654390934844,DecisionTree-GloVe,
FNFC,DecisionTree,TF-IDF,0.8672804532577902,DecisionTree-TF-IDF,
FNFC,DecisionTree,Word2Vec,0.7441926345609066,DecisionTree-Word2Vec,
FNFC,LinearSVM,BERT,0.8851274787535411,LinearSVM-BERT,
FNFC,LinearSVM,GloVe,0.8776203966005666,LinearSVM-GloVe,
FNFC,LinearSVM,TF-IDF,0.9,LinearSVM-TF-IDF,
FNFC,LinearSVM,Word2Vec,0.8541076487252125,LinearSVM-Word2Vec,
FNFC,LogisticRegression,BERT,0.8912181303116148,LogisticRegression-BERT,
FNFC,LogisticRegression,GloVe,0.8711048158640227,LogisticRegression-GloVe,
FNFC,LogisticRegression,TF-IDF,0.8726628895184136,LogisticRegression-TF-IDF,
FNFC,LogisticRegression,Word2Vec,0.8541076487252125,LogisticRegression-Word2Vec,
FNFC,NaiveBayes,BERT,0.6875354107648726,NaiveBayes-BERT,
FNFC,NaiveBayes,GloVe,0.5181303116147309,NaiveBayes-GloVe,
FNFC,NaiveBayes,TF-IDF,0.811756373937677,NaiveBayes-TF-IDF,
FNFC,NaiveBayes,Word2Vec,0.0133144475920679,NaiveBayes-Word2Vec,
FNFC,RandomForest,BERT,0.8621813031161473,RandomForest-BERT,
FNFC,RandomForest,GloVe,0.8624645892351275,RandomForest-GloVe,
FNFC,RandomForest,TF-IDF,0.8932011331444759,RandomForest-TF-IDF,
FNFC,RandomForest,Word2Vec,0.8610481586402265,RandomForest-Word2Vec,
FNFC,SVM-RBF,BERT,0.8838526912181303,SVM-RBF-BERT,
FNFC,SVM-RBF,GloVe,0.8562322946175638,SVM-RBF-GloVe,
FNFC,SVM-RBF,TF-IDF,0.876487252124646,SVM-RBF-TF-IDF,
FNFC,SVM-RBF,Word2Vec,0.8541076487252125,SVM-RBF-Word2Vec,
PROMISE,AdaBoost,BERT,0.4530580631376529,AdaBoost-BERT,
PROMISE,AdaBoost,GloVe,0.4592329469579616,AdaBoost-GloVe,
PROMISE,AdaBoost,TF-IDF,0.4953421291597671,AdaBoost-TF-IDF,
PROMISE,AdaBoost,Word2Vec,0.3839217990491961,AdaBoost-Word2Vec,
PROMISE,DecisionTree,BERT,0.4210191763260509,DecisionTree-BERT,
PROMISE,DecisionTree,GloVe,0.4272314513113615,DecisionTree-GloVe,
PROMISE,DecisionTree,TF-IDF,0.579979701938999,DecisionTree-TF-IDF,
PROMISE,DecisionTree,Word2Vec,0.3385289247369264,DecisionTree-Word2Vec,
PROMISE,LinearSVM,BERT,0.7161903744458095,LinearSVM-BERT,
PROMISE,LinearSVM,GloVe,0.7110250520805513,LinearSVM-GloVe,
PROMISE,LinearSVM,TF-IDF,0.7502483841675124,LinearSVM-TF-IDF,
PROMISE,LinearSVM,Word2Vec,0.4582073607179103,LinearSVM-Word2Vec,
PROMISE,LogisticRegression,BERT,0.7440361091822018,LogisticRegression-BERT,
PROMISE,LogisticRegression,GloVe,0.667699375033385,LogisticRegression-GloVe,
PROMISE,LogisticRegression,TF-IDF,0.6016238448800812,LogisticRegression-TF-IDF,
PROMISE,LogisticRegression,Word2Vec,0.4582073607179103,LogisticRegression-Word2Vec,
PROMISE,NaiveBayes,BERT,0.6811281448640564,NaiveBayes-BERT,
PROMISE,NaiveBayes,GloVe,0.578980823673949,NaiveBayes-GloVe,
PROMISE,NaiveBayes,TF-IDF,0.6439559852571979,NaiveBayes-TF-IDF,
PROMISE,NaiveBayes,Word2Vec,0.054681908017734,NaiveBayes-Word2Vec,
PROMISE,RandomForest,BERT,0.5810052881790503,RandomForest-BERT,
PROMISE,RandomForest,GloVe,0.5882164414294108,RandomForest-GloVe,
PROMISE,RandomForest,TF-IDF,0.6325890710966295,RandomForest-TF-IDF,
PROMISE,RandomForest,Word2Vec,0.4674857112333742,RandomForest-Word2Vec,
PROMISE,SVM-RBF,BERT,0.7120773462956038,SVM-RBF-BERT,
PROMISE,SVM-RBF,GloVe,0.5851289995192565,SVM-RBF-GloVe,
PROMISE,SVM-RBF,TF-IDF,0.5892366860744618,SVM-RBF-TF-IDF,
PROMISE,SVM-RBF,Word2Vec,0.4582073607179103,SVM-RBF-Word2Vec,
FNFC,LinearSVM,SBERT,0.8944759206798867,,0.0
FNFC,SVM-RBF,SBERT,0.8845609065155807,,0.0
FNFC,DecisionTree,SBERT,0.7839943342776204,,0.0
FNFC,LogisticRegression,SBERT,0.8859773371104815,,0.0
FNFC,RandomForest,SBERT,0.8626062322946175,,0.0
FNFC,AdaBoost,SBERT,0.8385269121813032,,0.0
FNFC,NaiveBayes,SBERT,0.7330028328611898,,0.0
FNFC,LinearSVM,SBERT,0.8916430594900849,,1.0
FNFC,SVM-RBF,SBERT,0.8852691218130312,,1.0
FNFC,DecisionTree,SBERT,0.7932011331444759,,1.0
FNFC,LogisticRegression,SBERT,0.8824362606232294,,1.0
FNFC,RandomForest,SBERT,0.8597733711048159,,1.0
FNFC,AdaBoost,SBERT,0.8463172804532578,,1.0
FNFC,NaiveBayes,SBERT,0.7344192634560907,,1.0
FNFC,LinearSVM,SBERT,0.8944759206798867,,2.0
FNFC,SVM-RBF,SBERT,0.8909348441926346,,2.0
FNFC,DecisionTree,SBERT,0.7797450424929179,,2.0
FNFC,LogisticRegression,SBERT,0.8817280453257791,,2.0
FNFC,RandomForest,SBERT,0.8618980169971672,,2.0
FNFC,AdaBoost,SBERT,0.853399433427762,,2.0
FNFC,NaiveBayes,SBERT,0.7457507082152974,,2.0
FNFC,LinearSVM,SBERT,0.9001416430594901,,3.0
FNFC,SVM-RBF,SBERT,0.8923512747875354,,3.0
FNFC,DecisionTree,SBERT,0.7946175637393768,,3.0
FNFC,LogisticRegression,SBERT,0.8923512747875354,,3.0
FNFC,RandomForest,SBERT,0.8668555240793201,,3.0
FNFC,AdaBoost,SBERT,0.8541076487252125,,3.0
FNFC,NaiveBayes,SBERT,0.75,,3.0
FNFC,LinearSVM,SBERT,0.8994334277620396,,4.0
FNFC,SVM-RBF,SBERT,0.8909348441926346,,4.0
FNFC,DecisionTree,SBERT,0.8024079320113314,,4.0
FNFC,LogisticRegression,SBERT,0.8852691218130312,,4.0
FNFC,RandomForest,SBERT,0.8583569405099151,,4.0
FNFC,AdaBoost,SBERT,0.8541076487252125,,4.0
FNFC,NaiveBayes,SBERT,0.7351274787535411,,4.0
PROMISE,LinearSVM,SBERT,0.7525773195876289,,0.0
PROMISE,SVM-RBF,SBERT,0.7474226804123711,,0.0
PROMISE,DecisionTree,SBERT,0.4948453608247423,,0.0
PROMISE,LogisticRegression,SBERT,0.7216494845360825,,0.0
