dataset,algo,embed,acc,config
FNFC,AdaCost,BERT,0.8266288951841361,AdaCost-BERT
FNFC,AdaCost,GloVe,0.8468838526912181,AdaCost-GloVe
FNFC,AdaCost,MPNet,0.8378186968838527,AdaCost-MPNet
FNFC,AdaCost,SBERT,0.834985835694051,AdaCost-SBERT
FNFC,AdaCost,TF-IDF,0.8575070821529746,AdaCost-TF-IDF
FNFC,AdaCost,Word2Vec,0.6352691218130312,AdaCost-Word2Vec
FNFC,CS-DT,BERT,0.7742209631728045,CS-DT-BERT
FNFC,CS-DT,GloVe,0.7647308781869688,CS-DT-GloVe
FNFC,CS-DT,MPNet,0.7800283286118981,CS-DT-MPNet
FNFC,CS-DT,SBERT,0.7838526912181303,CS-DT-SBERT
FNFC,CS-DT,TF-IDF,0.8464589235127479,CS-DT-TF-IDF
FNFC,CS-DT,Word2Vec,0.7402266288951841,CS-DT-Word2Vec
FNFC,CS-KNN,BERT,0.6365439093484418,CS-KNN-BERT
FNFC,CS-KNN,GloVe,0.6409348441926346,CS-KNN-GloVe
FNFC,CS-KNN,MPNet,0.6927762039660056,CS-KNN-MPNet
FNFC,CS-KNN,SBERT,0.6936260623229462,CS-KNN-SBERT
FNFC,CS-KNN,TF-IDF,0.4753541076487252,CS-KNN-TF-IDF
FNFC,CS-KNN,Word2Vec,0.5094900849858357,CS-KNN-Word2Vec
FNFC,CS-LR,BERT,0.8556657223796034,CS-LR-BERT
FNFC,CS-LR,GloVe,0.8525495750708215,CS-LR-GloVe
FNFC,CS-LR,MPNet,0.8818696883852691,CS-LR-MPNet
FNFC,CS-LR,SBERT,0.8804532577903682,CS-LR-SBERT
FNFC,CS-LR,TF-IDF,0.8975920679886686,CS-LR-TF-IDF
FNFC,CS-LR,Word2Vec,0.8541076487252125,CS-LR-Word2Vec
FNFC,CS-RF,BERT,0.8623229461756374,CS-RF-BERT
FNFC,CS-RF,GloVe,0.8614730878186968,CS-RF-GloVe
FNFC,CS-RF,MPNet,0.8627478753541077,CS-RF-MPNet
FNFC,CS-RF,SBERT,0.8620396600566572,CS-RF-SBERT
FNFC,CS-RF,TF-IDF,0.875070821529745,CS-RF-TF-IDF
FNFC,CS-RF,Word2Vec,0.8607648725212466,CS-RF-Word2Vec
FNFC,CS-SVM (Linear),BERT,0.8603399433427763,CS-SVM (Linear)-BERT
FNFC,CS-SVM (Linear),GloVe,0.8711048158640227,CS-SVM (Linear)-GloVe
FNFC,CS-SVM (Linear),MPNet,0.8939093484419264,CS-SVM (Linear)-MPNet
FNFC,CS-SVM (Linear),SBERT,0.8864022662889518,CS-SVM (Linear)-SBERT
FNFC,CS-SVM (Linear),TF-IDF,0.904815864022663,CS-SVM (Linear)-TF-IDF
FNFC,CS-SVM (Linear),Word2Vec,0.8541076487252125,CS-SVM (Linear)-Word2Vec
FNFC,CS-SVM (RBF),BERT,0.8983002832861191,CS-SVM (RBF)-BERT
FNFC,CS-SVM (RBF),GloVe,0.8805949008498584,CS-SVM (RBF)-GloVe
FNFC,CS-SVM (RBF),MPNet,0.9007082152974505,CS-SVM (RBF)-MPNet
FNFC,CS-SVM (RBF),SBERT,0.9048158640226628,CS-SVM (RBF)-SBERT
FNFC,CS-SVM (RBF),TF-IDF,0.8922096317280452,CS-SVM (RBF)-TF-IDF
FNFC,CS-SVM (RBF),Word2Vec,0.8541076487252125,CS-SVM (RBF)-Word2Vec
FNFC,MetaCost,BERT,0.6536827195467423,MetaCost-BERT
FNFC,MetaCost,GloVe,0.6399433427762039,MetaCost-GloVe
FNFC,MetaCost,MPNet,0.6859773371104816,MetaCost-MPNet
FNFC,MetaCost,SBERT,0.6944759206798867,MetaCost-SBERT
FNFC,MetaCost,TF-IDF,0.8145892351274787,MetaCost-TF-IDF
FNFC,MetaCost,Word2Vec,0.6451841359773371,MetaCost-Word2Vec
PROMISE,AdaCost,BERT,0.4199508573259975,AdaCost-BERT
PROMISE,AdaCost,GloVe,0.40356284386517816,AdaCost-GloVe
PROMISE,AdaCost,MPNet,0.40867475028043376,AdaCost-MPNet
PROMISE,AdaCost,SBERT,0.36320709363816034,AdaCost-SBERT
PROMISE,AdaCost,TF-IDF,0.4808770898990439,AdaCost-TF-IDF
PROMISE,AdaCost,Word2Vec,0.29930559264996526,AdaCost-Word2Vec
PROMISE,CS-DT,BERT,0.4282837455264142,CS-DT-BERT
PROMISE,CS-DT,GloVe,0.39939105816996956,CS-DT-GloVe
PROMISE,CS-DT,MPNet,0.4644036109182202,CS-DT-MPNet
PROMISE,CS-DT,SBERT,0.42926659900646336,CS-DT-SBERT
PROMISE,CS-DT,TF-IDF,0.5717322792585866,CS-DT-TF-IDF
PROMISE,CS-DT,Word2Vec,0.33227925858661395,CS-DT-Word2Vec
PROMISE,CS-KNN,BERT,0.6326104374766305,CS-KNN-BERT
PROMISE,CS-KNN,GloVe,0.5820148496341007,CS-KNN-GloVe
PROMISE,CS-KNN,MPNet,0.6914053736445702,CS-KNN-MPNet
PROMISE,CS-KNN,SBERT,0.7079322685753966,CS-KNN-SBERT
PROMISE,CS-KNN,TF-IDF,0.6769777255488489,CS-KNN-TF-IDF
PROMISE,CS-KNN,Word2Vec,0.2012766412050638,CS-KNN-Word2Vec
PROMISE,CS-LR,BERT,0.7523262646226163,CS-LR-BERT
PROMISE,CS-LR,GloVe,0.6883713476844185,CS-LR-GloVe
PROMISE,CS-LR,MPNet,0.7688531595534427,CS-LR-MPNet
PROMISE,CS-LR,SBERT,0.7471556006623578,CS-LR-SBERT
PROMISE,CS-LR,TF-IDF,0.6924683510496233,CS-LR-TF-IDF
PROMISE,CS-LR,Word2Vec,0.4499439132524972,CS-LR-Word2Vec
PROMISE,CS-RF,BERT,0.5572565568078629,CS-RF-BERT
PROMISE,CS-RF,GloVe,0.5593130708829657,CS-RF-GloVe
PROMISE,CS-RF,MPNet,0.5851183163292559,CS-RF-MPNet
PROMISE,CS-RF,SBERT,0.5737674269536883,CS-RF-SBERT
PROMISE,CS-RF,TF-IDF,0.6232946957961648,CS-RF-TF-IDF
PROMISE,CS-RF,Word2Vec,0.456140163452807,CS-RF-Word2Vec
PROMISE,CS-SVM (Linear),BERT,0.72959777789648,CS-SVM (Linear)-BERT
PROMISE,CS-SVM (Linear),GloVe,0.7223652582661183,CS-SVM (Linear)-GloVe
