dataset,algo,embed,fold,acc
FNFC,CS-SVM (Linear),TF-IDF+SBERT,0,0.9079320113314447
FNFC,CS-SVM (Linear),TF-IDF+GloVe,0,0.8987252124645893
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec,0,0.9065155807365439
FNFC,CS-SVM (Linear),TF-IDF+BERT,0,0.8810198300283286
FNFC,CS-DT,TF-IDF+GloVe,0,0.8250708215297451
FNFC,CS-RF,TF-IDF+BERT,0,0.8618980169971672
FNFC,CS-DT,TF-IDF+BERT,0,0.8271954674220963
FNFC,CS-SVM (Linear),TF-IDF+MPNet,0,0.9121813031161473
FNFC,CS-RF,TF-IDF+GloVe,0,0.8618980169971672
FNFC,CS-RF,TF-IDF+Word2Vec,0,0.8618980169971672
FNFC,CS-RF,TF-IDF+SBERT,0,0.8604815864022662
FNFC,CS-LR,TF-IDF+SBERT,0,0.8930594900849859
FNFC,CS-DT,TF-IDF+SBERT,0,0.8215297450424929
FNFC,CS-DT,TF-IDF+Word2Vec,0,0.8590651558073654
FNFC,CS-LR,TF-IDF+BERT,0,0.8626062322946175
FNFC,CS-SVM (Linear),Word2Vec+GloVe,0,0.8647308781869688
FNFC,CS-LR,Word2Vec+GloVe,0,0.8413597733711048
FNFC,CS-DT,Word2Vec+GloVe,0,0.7542492917847026
FNFC,CS-RF,TF-IDF+MPNet,0,0.8611898016997167
FNFC,CS-SVM (Linear),Word2Vec+BERT,0,0.8434844192634561
FNFC,CS-LR,TF-IDF+MPNet,0,0.9043909348441926
FNFC,CS-DT,Word2Vec+BERT,0,0.7783286118980169
FNFC,CS-DT,TF-IDF+MPNet,0,0.8179886685552408
FNFC,CS-LR,Word2Vec+BERT,0,0.8434844192634561
FNFC,CS-LR,TF-IDF+GloVe,0,0.8852691218130312
FNFC,CS-RF,Word2Vec+GloVe,0,0.8604815864022662
FNFC,CS-SVM (Linear),Word2Vec+SBERT,0,0.8803116147308782
FNFC,CS-LR,TF-IDF+Word2Vec,0,0.8994334277620396
FNFC,CS-LR,Word2Vec+SBERT,0,0.8703966005665722
FNFC,CS-DT,Word2Vec+SBERT,0,0.7669971671388102
FNFC,CS-SVM (Linear),Word2Vec+MPNet,0,0.8909348441926346
FNFC,CS-RF,Word2Vec+BERT,0,0.8618980169971672
FNFC,CS-SVM (RBF),Word2Vec+BERT,0,0.8845609065155807
FNFC,CS-LR,Word2Vec+MPNet,0,0.873229461756374
FNFC,CS-SVM (RBF),Word2Vec+GloVe,0,0.8689801699716714
FNFC,CS-DT,Word2Vec+MPNet,0,0.7811614730878187
FNFC,CS-RF,Word2Vec+SBERT,0,0.8611898016997167
FNFC,CS-LR,GloVe+BERT,0,0.8597733711048159
FNFC,CS-DT,GloVe+BERT,0,0.7939093484419264
FNFC,CS-SVM (Linear),GloVe+BERT,0,0.8640226628895185
FNFC,CS-LR,GloVe+SBERT,0,0.876770538243626
FNFC,CS-SVM (Linear),GloVe+SBERT,0,0.8916430594900849
FNFC,CS-SVM (RBF),Word2Vec+SBERT,0,0.8810198300283286
FNFC,CS-DT,GloVe+SBERT,0,0.7839943342776204
FNFC,CS-RF,Word2Vec+MPNet,0,0.8618980169971672
FNFC,CS-SVM (Linear),GloVe+MPNet,0,0.8958923512747875
FNFC,CS-LR,GloVe+MPNet,0,0.8873937677053825
FNFC,CS-DT,GloVe+MPNet,0,0.7754957507082153
FNFC,CS-RF,GloVe+BERT,0,0.8618980169971672
FNFC,CS-RF,GloVe+SBERT,0,0.8618980169971672
FNFC,CS-SVM (RBF),GloVe+BERT,0,0.8916430594900849
FNFC,CS-SVM (Linear),BERT+SBERT,0,0.8491501416430595
FNFC,CS-LR,BERT+SBERT,0,0.8491501416430595
FNFC,CS-DT,BERT+SBERT,0,0.7868271954674221
FNFC,CS-SVM (RBF),Word2Vec+MPNet,0,0.8845609065155807
FNFC,CS-SVM (RBF),GloVe+SBERT,0,0.8944759206798867
FNFC,CS-LR,BERT+MPNet,0,0.8618980169971672
FNFC,CS-SVM (Linear),SBERT+MPNet,0,0.8916430594900849
