dataset,algo,embed,fold,acc
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec+GloVe,0,0.8994334277620396
FNFC,CS-RF,TF-IDF+Word2Vec+BERT,0,0.8611898016997167
FNFC,CS-RF,TF-IDF+Word2Vec+SBERT,0,0.8604815864022662
FNFC,CS-RF,TF-IDF+Word2Vec+GloVe,0,0.8611898016997167
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec+SBERT,0,0.9086402266288952
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec+BERT,0,0.8831444759206799
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec+MPNet,0,0.9107648725212465
FNFC,CS-DT,TF-IDF+Word2Vec+BERT,0,0.8194050991501416
FNFC,CS-DT,TF-IDF+Word2Vec+GloVe,0,0.8109065155807366
FNFC,CS-DT,TF-IDF+Word2Vec+SBERT,0,0.8257790368271954
FNFC,CS-RF,TF-IDF+Word2Vec+MPNet,0,0.8604815864022662
FNFC,CS-SVM (Linear),TF-IDF+GloVe+BERT,0,0.8831444759206799
FNFC,CS-RF,TF-IDF+GloVe+BERT,0,0.8618980169971672
FNFC,CS-SVM (Linear),TF-IDF+GloVe+SBERT,0,0.9079320113314447
FNFC,CS-DT,TF-IDF+Word2Vec+MPNet,0,0.8109065155807366
FNFC,CS-LR,TF-IDF+Word2Vec+BERT,0,0.8668555240793201
FNFC,CS-DT,TF-IDF+GloVe+BERT,0,0.8208215297450425
FNFC,CS-LR,TF-IDF+Word2Vec+SBERT,0,0.8987252124645893
FNFC,CS-RF,TF-IDF+GloVe+SBERT,0,0.8611898016997167
FNFC,CS-DT,TF-IDF+GloVe+SBERT,0,0.8279036827195467
FNFC,CS-SVM (Linear),TF-IDF+GloVe+MPNet,0,0.9079320113314447
FNFC,CS-LR,TF-IDF+GloVe+BERT,0,0.8689801699716714
FNFC,CS-LR,TF-IDF+Word2Vec+GloVe,0,0.8845609065155807
FNFC,CS-LR,TF-IDF+Word2Vec+MPNet,0,0.9072237960339944
FNFC,CS-DT,TF-IDF+GloVe+MPNet,0,0.8144475920679887
FNFC,CS-RF,TF-IDF+GloVe+MPNet,0,0.8611898016997167
FNFC,CS-SVM (Linear),TF-IDF+BERT+SBERT,0,0.886685552407932
FNFC,CS-LR,TF-IDF+GloVe+SBERT,0,0.8987252124645893
FNFC,CS-DT,TF-IDF+BERT+SBERT,0,0.8201133144475921
FNFC,CS-RF,TF-IDF+BERT+SBERT,0,0.8611898016997167
FNFC,CS-SVM (Linear),TF-IDF+SBERT+MPNet,0,0.9086402266288952
FNFC,CS-LR,TF-IDF+GloVe+MPNet,0,0.9001416430594901
FNFC,CS-DT,TF-IDF+BERT+MPNet,0,0.8109065155807366
FNFC,CS-SVM (Linear),TF-IDF+BERT+MPNet,0,0.8902266288951841
FNFC,CS-LR,TF-IDF+BERT+SBERT,0,0.8654390934844193
FNFC,CS-RF,TF-IDF+BERT+MPNet,0,0.8611898016997167
FNFC,CS-LR,TF-IDF+BERT+MPNet,0,0.8739376770538244
FNFC,CS-RF,TF-IDF+SBERT+MPNet,0,0.8611898016997167
FNFC,CS-DT,Word2Vec+GloVe+BERT,0,0.7903682719546742
FNFC,CS-SVM (Linear),Word2Vec+GloVe+BERT,0,0.8604815864022662
FNFC,CS-DT,TF-IDF+SBERT+MPNet,0,0.8144475920679887
